Species	Taxon Group	Common Name	Estimated Genome Size (Mb)	Log Estimated Genome Size 	Assembly Genome Size (Mb)	Log Assembly Genome Size	Genome Size in Database (Mb)	Additional Measurements (Mb)	Difference Between Estimated and Assembly Size (Mb)	Log Difference Between Estimated and Assembly Size	(Est-Ass/Est)*100	Genomic GC content (%)	Gene Number	Log Gene Number	Average Coding Size/Gene (Exonic bp)	Log Average Coding Size	Coding Amount(Exonic Mb)	Log Coding Amount	Coding Proportion of Estimated Genome Size 	Pseudogene Number	Average Exon Size (bp)	Log Average Exon Size	Average Intron Size (bp)	Log Average Intron Size	Intron Number	Log Intron Number	Intron Amount (Mb)	Log Intron Amount	Introns Proportion Of Assembly	Introns Proportion of Estimate	TE Amount in Assembly (Mb)	Log TE Amount in Assembly	TE Number	Log TE Number	TE Proportion of Estimate	TE Proportion of Assembly	Repeat Amount in Assembly (Mb)	Log Repeat Amount in Assembly	Repeats Prop of Assembly	Repeats Proportion of Estimated Genome Size	Chromosome Number (1n)	Estimated Genome Size/Chromosome Number	Coverage (x)
Musa acuminata 	Plant	banana A genome	611	2.7860412102	523	2.7185016889	611		88	1.9444826722	14.4026186579		36542	4.5627923133			37.8	1.5774917998	0.0618657938												170.7	2.2322335211	172058	5.2356748704	0.2793780687	0.3263862333	167.36	2.2236516672	0.32	0.2739116203	11	55.5454545455	20.5
Cucumis melo 	Plant	melon	929	2.968015714	375	2.5740312677	929	450	554	2.7435097647	59.63401507	33.2	27427	4.4381783065	950	2.9777236053	33.09	1.5196967672	0.0356189451		271	2.4329692909	506	2.7041505168	125750	5.0995079937	63.629	1.8036550979	0.1696773333	0.0684919268	73.875	1.8684974939	73787	4.8679798533	0.0795209903	0.197					12	77.4166666667	13.52
Citrus sinensis	Plant	chinese orange	611	2.7860412102	320.5	2.5058280339	611		290.5	2.4631461367	47.5450081833	34.06	25376	4.4044231656	1255	3.0986437258	31.72	1.5013331786	0.0519148936		312	2.494154594	359	2.5550944486	213755	5.3299162822	76.84	1.8855873562	0.23975039	0.1257610475	61.7	1.790285164	83305	4.9206710687	0.1009819967	0.1925117005					9	67.8888888889	214
Arabidopsis lyrata	Plant		245	2.3891660844	206.7	2.3153404766	245		38.3	1.583198774	15.6326530612		27025	4.4317657026	1188.59	3.0750320721	32.122	1.5068025778	0.1311102041		223	2.348304863	202	2.3053513694							51.8817	1.7150141981	69942	4.8447380469	0.2117620408	0.251					16	15.3125	8
Gossypium raimondii	Plant	cottom	880	2.9444826722	775.2	2.889413764	880		104.8	2.0203612826	11.9090909091		40976	4.6125295611	1100.44	3.0415663682	49.6128	1.695593738	0.0563781818		244	2.3873898263	339	2.5301996982			53.4888	1.7282628548	0.069	0.0607827273	410.08	2.6128685888			0.466	0.528998968	430.0864	2.6335557097	0.5548070175	0.4887345455	13	67.6923076923	19.7
Brassica rapa	Plant	rapeseed	782	2.8932067531	283.8	2.4530123911	782		498.2	2.6974037232	63.7084398977	35.2	41174	4.6146230602	1171.99	3.0689239061	48.255	1.68354232	0.0617071611		233	2.367355921	209	2.3201462861							104.988	2.0211396626			0.1342557545	0.3699365751	112.129	2.049717949	0.395098661	0.143387468	10	78.2	72
Pyrus bretschneideri 	Plant	pear	527	2.7218106152	512	2.709269961	NA	527	15	1.1760912591	2.8462998102		42767	4.6311087866	1172	3.0689276117	50.2	1.7007037171	0.095256167		249	2.3961993471	386	2.5865873047	159357	5.2023711453	61.2	1.7867514221	0.11953125	0.1161290323	279.837	2.4469051363			0.531	0.5465566406	279.836	2.4469035843	0.5465546875	0.5309981025	17	31	7.6
Hevea brasiliensis	Plant	rubber tree	2103	3.3228392727	1100	3.0413926852	2103	2150	1003	3.001300933	47.6937708036	34.17	68955	4.8385657628	1332	3.1245042248	91.848	1.9630697039	0.0436747504		238	2.3765769571	332	2.5211380837							381.4	2.5813806887			0.181359962	0.3467272727	792.11	2.8987854961	0.7201	0.3766571564	18	116.8333333333	35
Azadirachta indica	Plant	neem	384	2.5843312244	373.115	2.5718427089	384	364	10.885	1.0368284334	2.8346354167		20169	4.304684366	728.98	2.8627156134	14.702	1.1673764184	0.0382864583		208	2.318063335	388.62	2.5895251474							42.95	1.6329631682			0.1118489583	0.1151119628	49.92	1.6982745767	0.1337925305	0.13	14	27.4285714286	21
Phyllostachys heterocycla	Plant	moso bamboo	2075	3.317018101	2050	3.3117538611	NA	2075	25	1.3979400087	1.2048192771	43.9	31987	4.5049735103	1203.1	3.0803017268	38.484	1.585280206	0.018546506		227	2.3560258572	492	2.6919651028							1217.616	3.0855103463			0.5868028916	0.5939590244					24	86.4583333333	147
Theobroma cacao	Plant	coco	430	2.6334684556	326.9	2.5144149206	416	430	103.1	2.0132586653	23.976744186	34.38	28798	4.4593623274	1161.93	3.0651799649	33.49	1.5249151475	0.0778837209		231	2.3636119799									84	1.9242792861	67575	4.8297860544	0.1953488372	0.2569593148					10	43	15.58
Trifolium pratense	Plant	red clover	418	2.6211762818	314.6	2.4977587183	418		103.4	2.0145205388	24.7368421053	32.8	47398	4.6757600166	894.96	2.9518036251	42.419	1.6275604261	0.1014808612		248.6	2.3955011243	295.2	2.4701163532	142174	5.1528201823	41.97	1.6229389692	0.1334075016	0.1004066986							188.68	2.2757258676	0.5997457088	0.4513875598	7	59.7142857143	58
Populus euphratica	Plant	desert poplar	577.42	2.7614918224	496.5	2.6959192528	NA	577.42	80.92	1.9080558741	14.0140625541		34279	4.535028144	1272.1	3.1045212526	43.615	1.6396358768	0.0755342731		245	2.3891660844	541.54	2.7336305406	119788	5.0784133139	64.87	1.8120438979	0.1306545821	0.1123445672	212.42	2.3271954045			0.3678778013	0.4278348439	254.06	2.4049362938	0.5117019134	0.4399916872	19	30.3905263158	115
Actinidia chinensis	Plant	kiwifruit	758	2.8796692056	616.1	2.7896512088	758	758	141.9	2.1519823955	18.7203166227	35.2	39040	4.591509809	1073	3.030599722	41.889	1.6220999927	0.055262533												116.787	2.0673945025			0.1540725594	0.1895585132	272.88	2.4359717064	0.4429151112	0.36	29	26.1379310345	150
Morus notabilis	Plant	mulberry tree	357.4	2.5531545482	330.79	2.5195523721	NA	357.4	26.61	1.4250448746	7.4454392837		29338	4.4674305042	1177.6	3.070997797	29.437	1.4688935479	0.0823642977		250	2.3979400087	542	2.7339992865							63.296	1.8013762656			0.1771012871	0.1913479851	147.44	2.1686153222	0.4457208501	0.4125349748	14	25.5285714286	236
Phoenix dactylifera	Plant	datepalm	929	2.968015714	381	2.5809249757	929	658	548	2.7387805585	58.9881593111	38.5	25000	4.3979400087																			55855	4.7470620561							18	51.6111111111	139
Carica papaya	Plant	papaya	367	2.5646660643	271	2.4329692909	367	372	96	1.982271233	26.1580381471	35.3	24746	4.3935050086	835.38	2.9218840735	25.13	1.4001924886	0.0684741144		220	2.3424226808	479	2.6803355134	85615	4.932549861	41.009	1.6128791792	0.1513247232	0.1117411444	144.1	2.1586639808			0.3926430518	0.5317343173					9	40.7777777778	3
Beta vulgaris	Plant	sugar beet	1223	3.087426457	566.6	2.7532765702	1223		656.4	2.8171685724	53.6713000818		27421	4.4380832888	1159	3.064083436	31.781	1.5021675583	0.0259860998		236.5	2.3738311451															239.84	2.3799216155	0.4232968585	0.1961079313	9	135.8888888889	30
Camelina sativa	Plant	false flax	785	2.8948696567	608.54	2.7842891302	NA	785	176.46	2.2466462749	22.4789808917	33.99	89418	4.9514249518	1223	3.087426457	31.33	1.4959603949	0.039910828												180.1	2.2555137128			0.2294267516	0.2959542512					20	39.25	100
Capsicum annuum  cv. CM334	Plant	hot pepper	3090	3.4899584794	3060	3.4857214265	3090	3480	30	1.4771212547	0.9708737864	35.03	34903	4.5428627573	1009.9	3.0042783722	35.247	1.5471221585	0.0114067961		286.5	2.4571246263	541.6	2.7336786557							1993.92	3.2997077296			0.6452815534	0.6516078431	2339.54	3.3691304749	0.7645555556	0.7571326861	12	257.5	186.6
Capsicum annuum Zunla-1	Plant		3090	3.4899584794	3349	3.5249151475	3090		-259		-8.3818770227	34.9	35336	4.5482173863	1020	3.0086001718	30.029	1.4775408699	0.009718123		239.11	2.3785977395	716.41	2.8551616393													2709.341	3.4328636692	0.809	0.8768093851	12	257.5	146.43
Capsicum annuum glabriusculum	Plant		3480	3.5415792439	3480	3.5415792439	NA				?	35	34476	4.537516872	1006	3.0025979807	34.694	1.5402543742	0.0099695402		249	2.3961993471	734.04	2.8657197265													2832.72	3.4522036488	0.814	0.814	12?		
Nicotiana tabacum K326	Plant		5061	3.7042363373	4600	3.6627578317	5061	4460-5060	461	2.6637009254	9.1088717645		91870	4.9631737164																							3362.6	3.5266752086	0.731	0.6644141474	24	210.875	38
Nicotiana tabacum TN90	Plant		5061	3.7042363373	4410	3.6444385895	5061	4460-5060	651	2.8135809886	12.8630705394																										3479.49	3.5415155927	0.789	0.6875103734	24	210.875	49
Nicotiana tabacum BX	Plant		5061	3.7042363373	4570	3.6599162001	5061	4460-5060	491	2.6910814921	9.7016399921																										3322.39	3.5214506109	0.727	0.6564690773	24	210.875	29
Gossypium arboreum	Plant		1677	3.2245330626	1694	3.228913406	1677	1724	-17		-1.0137149672		41330	4.6162654053	1083	3.0346284566	44.76	1.6508900779	0.0266905188		236	2.372912003	368	2.5658478187							1145.82	3.0591163985			0.683255814	0.6763990555	1160.39	3.0646039775	0.685	0.6919439475	13	129	110
Raphanus sativus	Plant	raddish	538	2.7307822757	402	2.6042260531	538	528.6	136	2.1335389084	25.2788104089	34.9	61572	4.7893832607																							107.2	2.0301947854	0.2666666667	0.1992565056	9	59.7777777778	267
Pyrus communis	Plant	Euro pear	538	2.7307822757	577.3	2.7614015575	538	600	-39.3		-7.3048327138		43419	4.6376798168	1209	3.0824263009	52.494	1.7201096669	0.0975724907		237	2.374748346	398	2.5998830721	178385	5.2513583327	70.997	1.8512399979	0.122981119	0.131964684	194.8	2.2895889525			0.3620817844	0.3374328772	197.724	2.2960593878	0.3424978347	0.3675167286	17	31.6470588235	11.4
Brassica oleracea	Plant		758	2.8796692056	539.9	2.7323133275	758	630	218.1	2.3386556656	28.7730870712	36.6	45758	4.660467034	1037	3.0157787564	47.45	1.6762362168	0.0625989446		228	2.357934847	204	2.3096301674							244.44	2.388172275			0.3224802111	0.4527505094					9	84.2222222222	94
Raphanus raphanastrum	Plant	wild raddish	515	2.711807229	254	2.4048337166	NA	515	261	2.4166405073	50.6796116505		38174	4.5817676692																													47
Lotus japonicus	Plant		465	2.6674529529	315.1	2.4984484032	465	472	149.9	2.1758016328	32.2365591398	37	30799	4.4885366158	1297.5	3.1131073665	39.962	1.6016472155	0.0859397849		256	2.4082399653	395	2.5965970956							73.1224	1.8640504372			0.1572524731	0.232060933	111.2332	2.0462344314	0.3530092034	0.2392111828	6	77.5	8.4
Phaseolus vulgaris	Plant	common bean	587	2.7686381012	473	2.6748611407	587		114	2.0569048513	19.4207836457		27197	4.4345210013																	214.742	2.3319169936			0.3658296422	0.454					11	53.3636363636	21.02
Citrus clementina	Plant	clementine mandarin	301.4	2.479143248	301.4	2.479143248	NA				?	35	25000	4.3979400087																	72.0875	1.8578599644			0.2391755143	0.2391755143	134.653	2.1292160337	0.4467584605	0.4467584605	9?		
Eucalyptus grandis	Plant		611	2.7860412102	605	2.7817553747	611	640	6	0.7781512504	0.9819967267		36376	4.5608149412	1568.17	3.1953931413	57.043	1.7562023578	0.0933600655		287.21	2.458199557	433.12	2.6366082384							303.105	2.4815931005			0.4960801964	0.501					11	55.5454545455	6.7
Vaccinium macrocarpon Ait.	Plant	cranberry	470	2.6720978579	420	2.6232492904	NA	470	50	1.6989700043	10.6382978723		36364	4.5606716491	837	2.922725458	30.436	1.4833875754	0.0647574468		270	2.4313637642									166.026	2.2201761047			0.3532468085	0.3953					12	39.1666666667	20
Vitis vinifera PN0024	Plant	grape	475	2.6766936096	487	2.6875289612	NA	475	-12		-2.5263157895		30434	4.4833590363	1104	3.0429690734	33.6	1.5263392774	0.0707368421								178.6	2.2518814546	0.3667351129	0.376	83.404	1.9211868796			0.1755873684	0.1712607803	185.346	2.2679832178	0.380587269	0.3902021053	19	25	
Cicer arietinum 	Plant	chickpea	929	2.968015714	532.29	2.7261483073	929	738.09	396.71	2.598473148	42.7029063509	30.78	28269	4.4513104458	1166.44	3.0668624042	32.97	1.5181189471	0.035489774		236.51	2.3738495081	480.43	2.6816301187							263.0044	2.4199630142			0.2831048439	0.4940998328					8	116.125	120
Picea abies 	Plant	Norway spruce	19570	4.2915908257	4300	3.6334684556	19570		15270	4.1838390371	78.027593255	37.9	28354	4.452614335	941	2.9735896234	26.68	1.4261858252	0.0013633112		312	2.494154594	1017	3.0073209529	57241	4.7577072123	58.214	1.7650274415	0.0135381395	0.0029746551	2580	3.411619706			0.1318344405	0.6	3010	3.4785664956	0.7	0.1538068472	12	1630.8333333333	
Capsella rubella	Plant		215	2.3324384599	134.8	2.1296898922	215	219	80.2	1.9041743683	37.3023255814		26521	4.4235898955											110091	5.0417518166															8	26.875	22.35
Jatropha curcas 	Plant		416	2.6190933306	285.86	2.4561533894	416	380-410	130.14	2.1144108024	31.2836538462	34.3	21225	4.3268476989	1329	3.1235249809	28.21	1.4504030862	0.0678125	13196	227	2.3560258572	356	2.551449998							91.33	1.9606134576			0.2195432692	0.319492059	106.25	2.0263289387	0.3716854404	0.2554086538	11	37.8181818182	189
Thellungiella salsuginea	Plant		260	2.414973348	233.7	2.3686587124	NA	260	26.3	1.4199557485	10.1153846154		28457	4.4541891139	1192.44	3.0764365359	58.14	1.7644750274	0.2236153846		228	2.357934847	200	2.3010299957							121.046	2.0829504426			0.4655615385	0.5179546427	135.2	2.1309766916	0.5785194694	0.52	7	37.1428571429	134
Prunus persica	Plant	peach	269	2.42975228	224.6	2.3514097519	269	265	44.4	1.6473829701	16.5055762082		27852	4.4448563865																	67.26	1.827756863			0.2500371747	0.2994657168	83.416	1.9212493605	0.371398041	0.3100966543	8	33.625	8.47
Solanum tuberosum	Plant	potato	856	2.9324737647	727	2.8615344109	856	844	129	2.1105897103	15.0700934579	35.45	39031	4.5914096783	905	2.9566485792	35.323	1.5480575813	0.0412651869		356	2.551449998	592	2.7723217067													452.5	2.6556185835	0.6224209078	0.5286214953	23	37.2173913043	114
Physcomitrella patens	Plant		518	2.7143297597	480	2.6812412374	518		38	1.5797835966	7.3359073359		35938	4.5555539043	1196.17	3.0777929061	43.2	1.6354837468	0.0833976834		245.62	2.390263727	310.57	2.4921595021													79.373	1.8996727953	0.1653604167	0.1532297297	13	39.8461538462	8.1
Utricularia gibba 	Plant		88	1.9444826722	82	1.9138138524	88	77	6	0.7781512504	6.8181818182	39.93	28494	4.45475342	1023.92	3.0102660261	29.175	1.4650108647	0.3315340909		246.52	2.3918521591	180.79	2.2571744048	90739	4.9577939888	16.4	1.214843848	0.2	0.1863636364	2.44	0.3873898263			0.0277272727	0.0297560976	2.453	0.3896975482	0.0299146341	0.027875	14	6.2857142857	35
Citrullus lanatus east Asia cultivar 97103	Plant	watermelon	425	2.6283889301	353.5	2.5483894181	NA	425	71.5	1.8543060418	16.8235294118		23440	4.3699576073	1109.68	3.0451977587	26.01	1.4151403522	0.0612		242.51	2.3847296516	464.34	2.666836097							159.8	2.203576775			0.376	0.4520509194					11	38.6363636364	108.6
Ricinus communis	Plant	castor bean	509	2.7067177823	350.6	2.5448119118	509	320	158.4	2.1997551773	31.1198428291	32.5	31221	4.4944468093	1004.2	3.001820217	31.352	1.4962652505	0.0615952849		251	2.3996737215	381	2.5809249757							183.04826	2.262565605			0.3596233006	0.5221	167.07	2.2228984726	0.4765259555	0.3282318271	10	50.9	4.5
Cannabis sativa	Plant	marijuana	817	2.9122220565	786	2.895422546	817		31	1.4913616938	3.794369645		30074	4.4781911954																											10	81.7	130
Cajanus cajan	Plant	pigeonpea	856	2.9324737647	605.78	2.7823149309	856	833.07	250.22	2.3983220198	29.2313084112	32.8	48680	4.6873505696	959.35	2.9819770799	46.7	1.6693168806	0.0545560748		267.39	2.4271451612	536.89	2.729885315							313.027	2.495581799			0.3656857477	0.5167337977	315.835	2.4994602557	0.5213691439	0.3689661215	11	77.8181818182	10
Eutrema salsugineum 	Plant		243.1	2.3857849588	243.1	2.3857849588	NA				?		26531	4.4237536196	1224	3.0877814178	32.4739	1.511534449	0.1335824763				363	2.559906625													123.87	2.0929661376	0.5095433978	0.5095433978	7	34.7285714286	
Prunus mume	Plant		280	2.4471580313	237	2.374748346	NA		43	1.6334684556	15.3571428571		31390	4.4967913157	1146	3.0591846176	35.972	1.5559645847	0.1284714286		249	2.3961993471	380	2.5797835966							104.6	2.0195316845			0.3735714286	0.441350211	125.776	2.0995977789	0.5307004219	0.4492	8	35	180
Elaeis guineensis	Plant	oil palm	1839	3.2645817292	1535	3.1861083798	1839		304	2.4828735836	16.5307232191	37	34802	4.5416042027																	149.619	2.1749867477			0.0813588907	0.0974716612	282.3	2.4507108781	0.1839087948	0.1535073409	16	114.9375	16
Genlisea aurea	Plant		63	1.7993405495	43.4	1.6374897295	63	63.6	19.6	1.2922560714	31.1111111111	40	17755	4.2493206766	965	2.9845273133	17.133	1.2338334149	0.271952381		214	2.3304137733	134	2.1271047984																	26	2.4230769231	300
Glycine soja	Plant		1125	3.0511525224	915.4	2.9616109081	1125		209.6	2.3213912783	18.6311111111		33135	4.5202869749																											20	56.25	63.1
Musa balbisiana	Plant	banana B genome	562	2.7497363156	339.3	2.5305838596	562		222.7	2.347720217	39.6263345196		36638	4.5639317583																							108.1	2.033825694	0.3185971117	0.1923487544	11	51.0909090909	41.4
Dianthus caryophyllus	Plant	carnation	611	2.7860412102	569	2.7551122664	611	622	42	1.6232492904	6.8739770867																				164.4979	2.2161603581			0.2692273322	0.2891	205.26	2.3123043246	0.3607381371	0.3359410802	15	40.7333333333	604
Spirodela polyrhiza	Plant	duckweed	158	2.198657087	128	2.1072099696	291	158	30	1.4771212547	18.9873417722		19623	4.2927654039	1108	3.0445397604	21.74	1.3372595398	0.1375949367		213	2.3283796034	560	2.748188027							23.6288	1.3734416663			0.1495493671	0.1846	26.6368	1.4254820499	0.2081	0.1685873418	40	3.95	22
Solanum pennellii	Plant	wild tomato	1200	3.079181246	942	2.9740509028	NA	1200	258	2.411619706	21.5		32273	4.508839338	1554	3.1914510145	50.152	1.7002882568	0.0417933333		272.63	2.4355736436															715	2.8543060418	0.7590233546	0.5958333333			190
Amaranthus hypochondriacus	Plant	grain amaranth	465	2.6674529529	273	2.436162647	465		192	2.2833012287	41.2903225806	33	24829	4.3949592285																							37.5648	1.5747810809	0.1376	0.0807845161	16	29.0625	105
Ostreococcus tauri	Protist		10	1	12.6	1.1003705451	10		-2.6		-26	58	8166	3.9120093756	1257	3.0993352777	9.198	0.9636934052	0.9198		750	2.8750612634	127	2.103803721									417	2.620136055			0.6426	-0.1920592788	0.051	0.06426	20	0.5	6.73
Bathycoccus prasinos	Protist		9.78	0.9903388548	15	1.1760912591	9.78		-5.22		-53.3742331288	48	7847	3.8947036526																	0		0		0	0					19	0.5147368421	22
Micromonas sp. RCC299	Protist		21.1	1.3242824553	21.1	1.3242824553	NA				?	64	10103	4.004450353	1532.8	3.1854854917	15.485	1.1899112097	0.7338862559		958	2.9813655091	163	2.2121876044													0.9614	-0.0170958822	0.045563981	0.045563981	17	1.2411764706	
Micromonas pusilla CCMP1545	Protist		21.9	1.3404441148	21.9	1.3404441148	NA				?	65	10660	4.0277572047	1390	3.1430148003	14.016	1.1466240888	0.64		731	2.863917377	193	2.285557309							1.97	0.2944662262			0.0899543379	0.0899543379	1.927	0.2848817147	0.0879908676	0.0879908676	19	1.1526315789	
Coccomyxa subellipsoidea	Protist		48.8	1.688419822	48.8	1.688419822	NA				?	53	9629	3.9835811867	1287.4	3.1097135048	12.396	1.0932815676	0.2540163934		182	2.260071388	240	2.3802112417							3.537	0.5486350598			0.0724795082	0.0724795082	3.5136	0.5457523184	0.072	0.072	20	2.44	
Chlorella variabilis NC64A	Protist		46.2	1.6646419756	46.2	1.6646419756	NA				?	67	9791	3.9908270506	1241	3.0937717815	12.15	1.0845762779	0.262987013		170	2.2304489214	209	2.3201462861							2.23	0.348304863			0.0482683983	0.0482683983	5.313	0.7253398159	0.115	0.115	12	3.85	
Volvox carteri 	Protist		138	2.1398790864	138	2.1398790864	NA				?	56	14971	4.1752508104	1840.8	3.2650066057	27.558	1.4402476958	0.1996956522		194	2.2878017299	491	2.6910814921							28.18	1.4499409888			0.2042028986	0.2042028986	24.17	1.3832766504	0.1751449275	0.1751449275	14	9.8571428571	
Chlamydomonas reinhardtii	Protist		118	2.0718820073	118	2.0718820073	88				?	64	12264	4.0886321418	1631	3.212453961	20.06	1.3023309287	0.17		232	2.3654879849	371	2.5693739096							14.77	1.1693804953			0.1251694915	0.1251694915	23.19	1.3653007486	0.1965254237	0.1965254237	17	6.9411764706	
Trypanosoma brucei	Protist		35	1.5440680444	35	1.5440680444	NA				?	46.4	9068	3.9575115115	1592	3.2019430634	14.436	1.1594468734	0.4124571429	900											0.7	-0.15490196	340	2.531478917	0.02	0.02					11	3.1818181818	
Trypanosoma cruzi	Protist		108.55	2.0356298278	108.55	2.0356298278	NA				?	51	12570	4.0993352777	1513	3.179838928	19.0184	1.2791739774	0.1752040534	3590											5.43	0.7347998296	1473	3.1682027468	0.0500230309	0.0500230309	54.275	1.7345998321	0.5	0.5	19	5.7131578947	
Dictyostelium discoideum	Protist	social amoeba	34	1.531478917	34	1.531478917	NA				?	22.4	12646	4.1019531775	1554	3.1914510145	19.652	1.2934067555	0.578				146	2.1643528558							3.32	0.5211380837	795	2.9003671287	0.0976470588	0.0976470588					6	5.6666666667	
Entamoeba histolytica	Protist		20.8	1.318063335	20.8	1.318063335	NA				?		8283	3.9181876614																	4.07	0.6095944092	3656	3.5630061871	0.1956730769	0.1956730769					14	1.4857142857	
Entamoeba invadens	Protist		40.89	1.6116171106	40.89	1.6116171106	NA				?	30	11549	4.0625443813											5894	3.7704101315					4.03	0.6053050461	6759	3.8298824464	0.0985571044	0.0985571044							
Trichomonas vaginalis	Protist		160	2.2041199827	160	2.2041199827	NA				?	32.7	59681	4.7758360915	928.6	2.9678286793	55.419	1.743658685	0.34636875		928.6	2.9678286793									39	1.591064607			0.24375	0.24375	104	2.0170333393	0.65	0.65	6	26.6666666667	
Albugo laibachii	Protist	white rust pathogen	37	1.5682017241	37	1.5682017241	NA				?		13032	4.1150110713																	8.066	0.9066582177			0.218	0.218	8.14	0.9106244049	0.22	0.22	13	2.8461538462	
Ectocarpus siliculosus	Protist	brown seaweed	214	2.3304137733	214	2.3304137733	NA				?	53.6	16256	4.2110136906	1563	3.193958978	25.68	1.4095950194	0.12		242.2	2.3841741388	704	2.8475726591	113619	5.0554509626	87.44	1.9417101489	0.4085981308	0.4085981308	24.12	1.3823773035			0.1127102804	0.1127102804	45	1.6532125138	0.2102803738	0.2102803738	25	8.56	
Phytophthora sojae	Protist		95	1.9777236053	86	1.9344984512	NA		9	0.9542425094	9.4736842105	54.4	16988	4.2301422523	1393.6	3.1441381377	23.674	1.3742716433	0.2492		475.7	2.6773331514	124	2.0934216852							8.83	0.9459607036			0.0929473684	0.1026744186	33.54	1.5255630583	0.39	0.3530526316			8
Phytophthora infestans	Protist		240	2.3802112417	228.5	2.3588862044	NA		11.5	1.0606978404	4.7916666667	51	17797	4.2503468004	1321.6	3.12110003	23.521	1.3714557819	0.0980041667		472	2.6739419986	125	2.096910013							91.31	1.9605183428	57643	4.7607465754	0.3804583333	0.3996061269	169.09	2.2281179241	0.74	0.7045416667			10
Phaeodactylum tricornutum	Protist		27.4	1.4377505628	27.4	1.4377505628	NA				?		10402	4.0171168494											8169	3.9121688961															33	0.8303030303	
Thalassiosira pseudonana	Protist		32.4	1.5105450102	32.4	1.5105450102	NA				?	47	11776	4.070997797	992	2.9965116722	10.368	1.0156949885	0.32						17880	4.2523675145					0.648	-0.1884249941			0.02	0.02					24	1.35	
Hyaloperonospora arabidopsidis	Protist		100	2	100	2	NA				?		14543	4.1626540041																	20.64	1.314709693			0.2064	0.2064	42	1.6232492904	0.42	0.42			
Symbiodinium minutum	Protist	Acropora symbiont	1500	3.1760912591	616	2.7895807122	NA		884	2.946452265	58.9333333333	43.6	42000	4.6232492904	1956.08	3.2913866126	82.155	1.914634	0.05477		99.8	1.9991305413	499	2.6981005456	664328.66	5.8223829889	331.5	2.5204835327	0.5381493506	0.221	23.355	1.3683798716	73509	4.8663405147	0.01557	0.037913961	38.192	1.5819724017	0.062	0.0254613333	18	83.3333333333	37
Prophyridium purpureum	Protist		19.7	1.2944662262	19.7	1.2944662262	NA				?		8355	3.9219464542											235	2.3710678623					0.343	-0.46470588	1185	3.0737183503	0.0174111675	0.0174111675	0.505311	-0.2964412476	0.0256503046	0.0256503046	9	2.1888888889	
Capsaspora owczarzaki	Protist	 filasterean	28	1.4471580313	28	1.4471580313	NA				?	53.8	8657	3.9373674175	1898.579	3.2784286729	16.436	1.2157961326	0.587				166	2.220108088							2.52	0.4014005408			0.09	0.09					12	2.3333333333	
Helicosporidium	Protist	parasitic green alga	17	1.2304489214	13.684	1.1362130655	13	17	3.316	0.5206145219	19.5058823529	62	6035	3.7806772744	841.8	2.9252089214	5.08	0.7058637123	0.2988235294		366	2.5634810854	168	2.2253092817																			62
Klebsormidium flaccidum	Protist	terrestrial alga	117.1	2.0685568951	103.921	2.0167033172	195.6	117.1	13.179	1.119882458	11.2544833476	52.4	16063	4.2058266594									498	2.6972293428	93007	4.9685156362	46.317	1.6657404219	0.4456943255	0.3955337319	0.318355	-0.4970883248			0.0027186593	0.0030634328	0.797	-0.0985416786	0.0076692872	0.0068061486	22	5.3227272727	40
Babesia microti	Protist		6.5	0.8129133566	6.5	0.8129133566	NA				?	36.27	3513	3.5456781498	1327	3.1228709229	4.745	0.6762362168	0.73		397	2.5987905068	61	1.785329835	852	2.9304395948	0.52	-0.2839966564	0.08	0.08	0				0	0	0.078	-1.1079053973	0.012	0.012	3	2.1666666667	
Leishmania mexicana	Protist		32.108	1.5066132543	32.108	1.5066132543	NA				?	59.7	8250	3.9164539485																											34	0.9443529412	
Phytophthora ramorum	Protist		65	1.8129133566	66.7	1.8241258339	NA		-1.7		-2.6153846154	53.9	14451	4.159897901	1437.8	3.1576984793	20.777	1.3175828398	0.3196461538		553	2.7427251313	123	2.0899051114													18.676	1.2712838653	0.28	0.2873230769			7
Phytophthora capsici	Protist		64	1.806179974	64	1.806179974	NA				?		19805	4.2967748467	1028	3.0119931147	20.347	1.3085003851	0.317921875		467	2.6693168806	189	2.2764618042													12.16	1.0849335749	0.19	0.19			
Ostreococcus lucimarinus	Protist		13.2	1.1205739312	13.2	1.1205739312	NA				?	60	7651	3.883718202	1261	3.1007150866	9.108	0.9594230219	0.69		970	2.9867717343	187	2.2718416065													1.0164	0.0070646564	0.077	0.077	21	0.6285714286	
Bigelowiella natans	Protist		94.7	1.976349979	94.7	1.976349979	NA				?	45	21708	4.3366198129	1406	3.1479853207	30.521	1.4845987589	0.3222914467		159	2.2013971243	184	2.264817823																	3	31.5666666667	
Guillardia theta	Protist		87.2	1.9405164849	87.2	1.9405164849	NA				?	53	24840	4.3951515915	1283	3.1082266564	31.869	1.5033684362	0.3654701835		199	2.2988530764	110	2.0413926852																	3	29.0666666667	
Acanthamoeba castellanii	Protist		45.1	1.6541765419	45.1	1.6541765419	NA				?		15455	4.1890690094																											20	2.255	
Cyanidioschyzon merolae	Protist		16.5	1.2174839442	16.5	1.2174839442	NA				?	55	5331	3.7268086825	1552	3.1908917169	7.4085	0.8697302852	0.449		1540	3.1875207208	248	2.3944516808	27	1.4313637642	0.006696	-2.174184555	0.0004058182	0.0004058182											20	0.825	
